"Operations"
"5 * 5 = 25.0"
"6 / 7 = 0.8571428571428571"
"5 / 7 = 0.71"
"4 + 2 = 6"
"5 + 4 = 9"
"7 / 5 = 1.4"
"7 * 10 = 70.0"
"-15 + 2 = -13"
"5 + 14.5 = 514.5"
"15.6 + 14.7 = 15.614.7"
"15.5 + 15.6 = 31.1"
"5 / 6 = 0.83"
"15.6 + 15.7 = 31.299999999999997"
"12 - 12.01 = -0.009999999999999787"
"15.5 / 5 = 3.1"
"15 * 6 = 90.0"
"5 + 5 = 10"
"5 + 15.5 = 20.5"
"20.5 / 5 = 4.1"
"20 / 5 = 4.0"
"20 * 2 = 40.0"
"2.2 * 5 = 11.0"
"6 / 4 = 1.5"
"15.6 / 4 = 3.9"
"1 + 1.0 = 2.0"
"2 * 5 = 10.0"
"Caching successful."
"5 + 9 = 14"
"7 * 3 = 21.0"
"5 * 2 = 10"
"5.2 * 5 = 26.0"
"1 - 2 = -1"
"1 + 2 = 3"
"5 * 5 = 25"
"5 / 5 = 1.0"
"5 % 3 = 2"
"10 // 2 = 5"
"10 // 7 = 1"
"10 / 7 = 1.43"
"5 x! 5 = 120"
"6 X! 5 = None"
"6 x! 5 = 720"
"4 x! 1 = 24"
"5 x** 3 = 125.0"
"5 x**y 5 = 3125.0"
"5 x**y 3 = 125.0"
"2 sqrtx 3 = 1.41"
"4 sqrtx 2 = 2.0"
"5 logxy 10 = 0.6989700043360187"
"10 logxy 5 = 1.4306765580733933"
"144 logxy 2 = 7.169925001442313"
"144 logxy 12 = 2.0"
"5 sinx 5 = -0.96"
"5 ctgx 5 = -0.3"
"5 + 6 = 11"
"6 x! = 720"
"5 ctgx = -0.3"
"10 % 6 = 4"
"100 % 4 = 0"
"9 / 5 = 1.8"
"2 + 3 = 5"
"4 + 4 = 8"
"1 + 1 = 2"
"1 + 1 = 2"
"1 + 1 = 2"
"1 + 1 = 2"
"1 + 1 = 2"
